UID,Product,Path,Parent,Team,Label,Tests,Root URL,Launch Date,Referral,Testrail Project ID,Package Dependencies,Cross Product Dependencies
22,Careers and Employement Hub,src/applications/edu-benefits,Content Hub,Public Websites,,,,,"QA Standards, Governance",,,
24,Claims and Appeals Status,Multiple,Claims Status,Claims & Appeals,,,,,"QA Standards, Governance",5,,
26,Comparison Tool Updates (caution flag),src/applications/gi,GI Bill Comparison Tool,DGIB,,,,,"QA Standards, Governance",,,
28,Contact Information,src/applications/personalization/profile/tests/e2e/personal-and-contact-info,Profile,Authenticated Experience,,,,,"QA Standards, Governance",,,
30,Covid-19 Chatbot,src/applications/coronavirus-chatbot,N/A,ThoughtWorks,,,,,"QA Standards, Governance",23,,
32,Crisis Line modal,src/applications/disability-benefits/all-claims,Crisis Line modal,Global Unauth'd Exp,,,,,"QA Standards, Governance",,,
34,Dependent Benefits Application and Modification (21-686c),src/applications/disability-benefits/686c-674,View/manage dependents,eBenefits Migration Team,,,,"August 23, 2021","QA Standards, Governance",,"@sentry/browser,react,@department-of-veterans-affairs/component-library/Telephone,vets-json-schema/dist/686C-674-schema.json,vets-json-schema/dist/constants.json,lodash/merge,react-redux,moment,@department-of-veterans-affairs/component-library/OMBInfo,chai,sinon,enzyme,@testing-library/react,path",
36,Direct Deposit for Compensation and Pension,src/applications/personalization/profile,Profile,Authenticated Experience,,,,10/23/2019,"QA Standards, Governance",,,
38,Direct Deposit for Education,src/applications/personalization/dashboard,Profile,Authenticated Experience,,,,May 2021,"QA Standards, Governance",,"react,prop-types,chai,@testing-library/react,react-redux,moment,@department-of-veterans-affairs/react-components/AdditionalInfo,@department-of-veterans-affairs/react-components/AlertBox,@department-of-veterans-affairs/react-components/LoadingIndicator,react-router,lodash/isEmpty,classnames,date-fns,@department-of-veterans-affairs/component-library/Table,lodash/isPlainObject,@sentry/browser,lodash/kebabCase,redux,enzyme,@department-of-veterans-affairs/react-components/Modal","src/applications/hca/actions,src/applications/personalization/profile/actions/paymentInformation,src/applications/personalization/profile/tests/unit-test-helpers,src/applications/claims-status/utils/appeals-v2-helpers,src/applications/claims-status/utils/helpers,src/applications/claims-status/actions,src/applications/personalization/profile/actions,src/applications/claims-status/actions/index.jsx,src/applications/claims-status/components/appeals-v2/AppealListItemV2,src/applications/claims-status/components/ClaimsUnavailable,src/applications/claims-status/components/AppealsUnavailable,src/applications/claims-status/components/ClaimsAppealsUnavailable,src/applications/claims-status/reducers,src/applications/personalization/profile/reducers,src/applications/disability-benefits/view-payments/reducers,src/applications/personalization/profile/tests/fixtures/users/user,src/applications/personalization/profile/tests/fixtures/500.json,src/applications/personalization/profile/tests/fixtures/service-history-success.json,src/applications/personalization/profile/tests/fixtures/full-name-success.json,src/applications/personalization/profile/tests/fixtures/claims-success,src/applications/personalization/profile/tests/fixtures/appeals-success,src/applications/personalization/profile/tests/fixtures/disability-rating-success.json,src/applications/personalization/profile/tests/fixtures/dd4edu/dd4edu-not-enrolled.json,src/applications/personalization/profile/tests/fixtures/enrollment-system/not-in-esr.json,src/applications/personalization/profile/tests/fixtures/appeals-404.json,src/applications/personalization/profile/tests/fixtures/users/user.js,src/applications/personalization/profile/tests/fixtures/enrollment-system/enrolled.json,src/applications/personalization/profile/tests/fixtures/users/user-loa1.json,src/applications/personalization/profile/tests/fixtures/401.json,src/applications/personalization/profile/tests/e2e/helpers,src/applications/personalization/profile/tests/fixtures/users/user-mpi-error.json,src/applications/personalization/profile/tests/fixtures/users/user-not-in-mpi.json,src/applications/personalization/profile/tests/helpers"
40,Disability Comp Benefits Application (21-526 EZ),src/applications/disability-benefits/all-claims,Disability Comp Application (21-526 EZ),Claims & Appeals,,,,May 2018,"QA Standards, Governance",,,
42,Disability Hub,src/applications/disability-benefits/all-claims,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
44,Disability Ratings Calculator page,src/applications/disability-benefits/disability-rating-calculator,N/A,Public Websites,,,,,"QA Standards, Governance",,,
46,Discharge Upgrade Tool,src/applications/discharge-wizard,Discharge Upgrade Tool,Search & Discovery,,,,,"QA Standards, Governance",,"react,prop-types,react-router,react-scroll,moment,@department-of-veterans-affairs/react-components/RadioButtons,@department-of-veterans-affairs/component-library/Select,lodash/range,react-redux,lodash/set,redux,chai,enzyme,sinon",
48,Display of Facility operating status,src/applications/facility-locator,Facility Locator,Facilities,,,,,"QA Standards, Governance",,"@mapbox/mapbox-sdk/services/geocoding,lodash/compact,lodash/isEmpty,react,moment,prop-types,lodash/pull,lodash/some,lodash/get,@mapbox/mapbox-sdk,leaflet,react-leaflet,react-dom/server,@department-of-veterans-affairs/react-components/Pagination,react-redux,redux,@department-of-veterans-affairs/component-library/Telephone,react-router,classnames,@department-of-veterans-affairs/react-components/Modal,@department-of-veterans-affairs/react-components/AlertBox,downshift,append-query,mapbox-gl,mapbox-gl/dist/mapbox-gl.css,react-tabs,@department-of-veterans-affairs/react-components/Breadcrumbs,@department-of-veterans-affairs/react-components/LoadingIndicator,http,chai,enzyme,@testing-library/react,lodash/pick,sinon,@pact-foundation/pact,lodash/upperFirst,lodash/forIn,lodash/toLower,lodash/split,lodash/last,lodash/includes,lodash/first",
50,Document upload,src/applications/claims-status,Claim Status,,,,,,"QA Standards, Governance",,,
52,Download VA Benefit Letters,src/applications/letters,Download VA Benefit Letters,,,,,3/28/2018,"QA Standards, Governance",,"@sentry/browser,react,react-redux,prop-types,react-transition-group,lodash/findIndex,react-router,chai,sinon,react-dom/test-utils,enzyme,skin-deep,lodash/merge,react-dom",
54,Education Benefits Application (22-1990),src/applications/edu-benefits/1990,Education Benefits,Education,,,,,"QA Standards, Governance",,"react,prop-types,lodash/merge,moment,vets-json-schema/dist/22-1990-schema.json,react-redux,@department-of-veterans-affairs/component-library/OMBInfo,lodash/isEmpty,chai,react-dom/test-utils,sinon,react-dom,enzyme,path",
56,Education Benefits Application under FRY or DEA (22-5490),src/applications/edu-benefits/5490,Education Benefits,Education,,,,,"QA Standards, Governance",,"lodash/pick,react,lodash/without,lodash/omit,lodash/merge,reselect,vets-json-schema/dist/22-5490-schema.json,react-redux,@department-of-veterans-affairs/component-library/OMBInfo,moment,react-dom,chai,react-dom/test-utils,sinon,enzyme,path",
60,Education Benefits Transfer Application (22-1990E),src/applications/edu-benefits/1990e,Education Benefits,Dan Ziober,,,,,"QA Standards, Governance",,"lodash/merge,vets-json-schema/dist/22-1990E-schema.json,react,react-redux,@department-of-veterans-affairs/component-library/OMBInfo,react-dom,chai,react-dom/test-utils,sinon,enzyme,path","src/applications/edu-benefits/1990/config/form"
58,Education Benefits for National Call to Service Application (22-1990N),src/applications/edu-benefits/1990n,Education Benefits,Dan Ziober,,,,,"QA Standards, Governance",,"lodash/merge,vets-json-schema/dist/22-1990N-schema.json,react,react-redux,@department-of-veterans-affairs/component-library/OMBInfo,react-dom,chai,react-dom/test-utils,sinon,enzyme,path",
62,Education Change of Program or Training Application (22-1995),src/applications/edu-benefits/1995,Education Benefits,Dan Ziober,,,,,"QA Standards, Governance",,"vets-json-schema/dist/22-1995-schema.json,react,react-redux,@department-of-veterans-affairs/component-library/OMBInfo,lodash/merge,lodash/omit,lodash/get,lodash/cloneDeep,react-dom,chai,sinon,react-dom/test-utils,enzyme,path,moment",
64,Education Change of Program or Training Application under FRY or DEA (22-5495),src/applications/edu-benefits/5495,Education Benefits,Education,,,,,"QA Standards, Governance",,"lodash/merge,vets-json-schema/dist/22-5495-schema.json,react,react-redux,@department-of-veterans-affairs/component-library/OMBInfo,react-dom,chai,sinon,react-dom/test-utils,enzyme,path",
66,Education Hub,src/applications/edu-benefits,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
68,Education Opt-Out,src/applications/edu-benefits/0993,Education Opt-Out,Education,,,,,"QA Standards, Governance",,"vets-json-schema/dist/22-0993-schema.json,react,moment,react-redux,prop-types,react-router,classnames,chai,sinon,enzyme,skin-deep",
70,Estimate Your Benefits,src/applications/edu-benefits,Education Benefits,Booz-Allen Hamilton,,,,06/19/2020,"QA Standards, Governance",,,
72,Facility Locator,src/applications/facility-locator,Facility Locator,Facilities,,,,,"QA Standards, Governance",14,,
74,Family Member Benefits Hub,src/applications/personalization/dashboard/components/apply-for-benefits,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
76,Find a VA Form,src/applications/find-forms,Find a VA Form,Search & Discovery,,,,,"QA Standards, Governance",,,
78,Form Pre-fill,,Profile,,,,,,"QA Standards, Governance",,,
80,GI Bill Comparison Tool,src/applications/gi,GI Bill Comparison Tool,Education,,,,,"QA Standards, Governance",17,"append-query,@mapbox/mapbox-sdk/services/geocoding,react,classnames,prop-types,lodash/uniqueId,lodash/isEqual,react-router-dom,@department-of-veterans-affairs/react-components/Breadcrumbs,@mapbox/mapbox-sdk,moment,@department-of-veterans-affairs/component-library/ExpandingGroup,lodash/get,@department-of-veterans-affairs/component-library/TextInput,lodash/snakeCase,lodash/isString,lodash/isArray,@department-of-veterans-affairs/react-components/Modal,lodash/debounce,downshift,@department-of-veterans-affairs/component-library/Telephone,lodash/isEmpty,react-redux,@department-of-veterans-affairs/react-components/LoadingIndicator,lodash/isFinite,@department-of-veterans-affairs/react-components/AdditionalInfo,lodash/difference,lodash/cloneDeep,react-scroll,lodash/capitalize,mapbox-gl/dist/mapbox-gl.css,mapbox-gl,@department-of-veterans-affairs/react-components/Pagination,camelcase-keys-recursive,lodash/omit,reselect,chai,enzyme,sinon,@testing-library/react,history-v4,redux,redux-thunk,history,url-search-params,vets-json-schema/dist/constants.json",
82,GI Bill Feedback Tool,src/applications/edu-benefits/feedback-tool,GI Bill Feedback Tool,Education,,,,8/1/2018,"QA Standards, Governance",,"lodash/debounce,react,prop-types,classnames,@department-of-veterans-affairs/react-components/Pagination,@department-of-veterans-affairs/react-components/LoadingIndicator,@department-of-veterans-affairs/react-components/Checkbox,react-scroll,react-redux,lodash/merge,vets-json-schema/dist/FEEDBACK-TOOL-schema.json,moment,@department-of-veterans-affairs/component-library/OMBInfo,append-query,@sentry/browser,lodash/reduce,lodash/get",
84,Header / Footer,src/platform/site-wide/header/components/Header,Header / Footer,Public Websites,,,,,"QA Standards, Governance",,,
86,Health Care Application (10-10 EZ),src/applications/hca,Health Care Application (10-10 EZ),10-10,,,,,"QA Standards, Governance",,"append-query,react,prop-types,@department-of-veterans-affairs/react-components/AlertBox,classnames,react-redux,@department-of-veterans-affairs/component-library/Telephone,@department-of-veterans-affairs/react-components/Modal,@department-of-veterans-affairs/react-components/AdditionalInfo,moment,lodash/merge,vets-json-schema/dist/10-10EZ-schema.json,@department-of-veterans-affairs/react-components/LoadingIndicator,lodash/pick,lodash/mapValues,vets-json-schema/dist/vaMedicalFacilities.json,chai,sinon,skin-deep,enzyme,react-dom,react-dom/test-utils,fs,path,jsonschema,@sentry/browser","src/applications/personalization/dashboard/components/DashboardAlert,src/applications/facility-locator/manifest.json"
88,Health Care Hub,,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
90,Higher Level Review,src/applications/appeals/10182,Appeals,Claims & Appeals,,,,,"QA Standards, Governance",,,
92,Home Page,,Home Page,Public Websites,,,,,"QA Standards, Governance",,,
94,Housing and Assistance Hub,,Content Hub,Public Websites,,,,,"QA Standards, Governance",,,
96,Intent to File Submission (21-0966),src/applications/disability-benefits,Disability Comp Application (21-526 EZ),Claims & Appeals,,,,May 2018,"QA Standards, Governance",,,
98,Left Navigation,src/platform/site-wide/side-nav,N/A,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
100,Life Insurance Hub,,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
102,Login Flow,src/applications/login,Login,Identity,,,,,"QA Standards, Governance",,,
104,Medical Device Reordering Tool,,N/A,Debt Resolution,,,,,"QA Standards, Governance",,,
106,My VA,src/applications/personalization/dashboard,My VA,Authenticated Experience,,,,July 2021,"QA Standards, Governance",,,
108,Notice of Disagreement,src/applications/appeals/10182,Appeals,Claims & Appeals,,,,,"QA Standards, Governance",,,
110,Notification Preferences,src/applications/personalization/profile,Profile,Authenticated Experience,,,,November 2021,"QA Standards, Governance",,,
130,PTSD Benefits Application (21-0781, 21-0781a),src/applications/disability-benefits/all-claims,Disability Comp Application (21-526 EZ),,,,,,"QA Standards, Governance",,,
112,Payment History,src/applications/disability-benefits/view-payments,Compensation,eBenefits Migration Team,,,,"January 8, 2021","QA Standards, Governance",,"react,moment,lodash/chunk,@department-of-veterans-affairs/react-components/Pagination,@department-of-veterans-affairs/component-library/Table,react-redux,@department-of-veterans-affairs/component-library/Telephone,react-router,chai,sinon,@testing-library/react,@testing-library/dom,msw,msw/node",
114,Pension Benefits Application (21P-527EZ),src/applications/pensions,Pension Benefits Application (21P-527EZ),,,,,,"QA Standards, Governance",,"prop-types,react,react-scroll,@department-of-veterans-affairs/react-jsonschema-form/lib/utils,moment,@department-of-veterans-affairs/component-library/OMBInfo,lodash/merge,reselect,vets-json-schema/dist/21P-527EZ-schema.json,react-redux,@sentry/browser,chai,skin-deep,sinon,react-dom/test-utils,@testing-library/react,react-dom,path",
116,Pension Hub,,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
118,Performance Dashboard,,N/A,,,,,,"QA Standards, Governance",,,
120,Personalized Career Planning & Guidance Application (VAF 28-8832),src/applications/vre/28-8832,Personalized Career & Planning Guidanc,eBenefits Migration team,,,,"May 10, 2021","QA Standards, Governance",,"react,react-redux,moment,lodash/merge,@department-of-veterans-affairs/component-library/Telephone,vets-json-schema/dist/28-8832-schema.json,@department-of-veterans-affairs/component-library/OMBInfo,chai,enzyme,sinon,path,@department-of-veterans-affairs/react-components/RadioButtons",
122,Post-9/11 GI Bill Benefit Information,src/applications/post-911-gib-status,Post-9/11 GI Bill Benefit Information,,,,,Summer 2017,"QA Standards, Governance",,"@sentry/browser,react,classnames,@department-of-veterans-affairs/react-components/RadioButtons,prop-types,react-redux,@department-of-veterans-affairs/react-components/LoadingIndicator,@department-of-veterans-affairs/react-components/AlertBox,react-router,chai,sinon,skin-deep,lodash/merge,enzyme,moment",
124,Pre-Need Burial Benefits Application (21P-530),src/applications/pre-need,Pre-Need Burial Benefits Application (21P-530),Claims & Appeals,,,,,"QA Standards, Governance",,"react,@department-of-veterans-affairs/component-library/OMBInfo,lodash/pick,lodash/merge,vets-json-schema/dist/40-10007-schema.json,moment,react-redux,reselect,chai,enzyme,sinon,@testing-library/react,vets-json-schema/dist/definitions.json,fs,path,jsonschema,@sentry/browser",
126,Privacy Policy,,Privacy Policy,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
128,Private Medical Information Release (21-4142),src/applications/disability-benefits/all-claims,Disability Comp Application (21-526 EZ),Claims & Appeals,,,,May 2018,"QA Standards, Governance",,,
132,Records Hub,,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
134,Request for Approval of Dependent School Attendance (21-674),src/applications/disability-benefits/686c-674,Disability Comp Application (21-526 EZ),,,,,2018,"QA Standards, Governance",,,
136,Resources & Support,src/applications/resources-and-support,Resources & Support,Sitewide Content & IA,,,,11/4/2020,"QA Standards, Governance",,"react,@department-of-veterans-affairs/react-components/AlertBox,@department-of-veterans-affairs/react-components/LoadingIndicator,@department-of-veterans-affairs/react-components/Pagination,url-search-params,prop-types,lodash/truncate,@sentry/browser,lodash/orderBy,react-dom,chai,@testing-library/react,msw,msw/node,enzyme",
148,SSO / shared session across VA properties,,Login,Identity,,,,,"QA Standards, Governance",,,
138,Save in Progress,src/platform/forms/tests/save-in-progress,N/A,,,,,,"QA Standards, Governance",,,
140,Search,src/applications/search,Search,Search & Discovery,,,,,"QA Standards, Governance",2,"@sentry/browser,react,prop-types,@department-of-veterans-affairs/react-components/Breadcrumbs,@department-of-veterans-affairs/component-library/IconSearch,chai,sinon,enzyme,react-router,react-redux,@department-of-veterans-affairs/react-components/LoadingIndicator,@department-of-veterans-affairs/react-components/Pagination,@pact-foundation/pact",
142,Section 103,src/applications/gi,N/A,Booz-Allen Hamilton,,,,06/05/2020,"QA Standards, Governance",,,
146,Service Member Benefits Hub,,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
150,Unemployability Benefits Application (21-8940),src/applications/disability-benefits,Disability Comp Application (21-526 EZ),Claims & Appeals,,,,,"QA Standards, Governance",,,
153,Update Address (PCIU),src/applications/letters,Download VA Benefit Letters,,,,,,"QA Standards, Governance",,,
156,Urgent Care MVP,src/applications/facility-locator,Facility Locator,Facilities,,,,,"QA Standards, Governance",,,
158,User Notification Settings,src/applications/personalization/profile/tests/e2e/notification-settings,Profile,Authenticated Experience,,,,11/2021,"QA Standards, Governance",,,
160,User-uploaded doc exposure,,User-uploaded doc exposure,,,,,,"QA Standards, Governance",,,
162,VA Online Scheduling,src/applications/vaos,N/A,VAOS,,,,3/11/2020,"QA Standards, Governance",16,"react,moment,react-router-dom,react-redux,prop-types,@department-of-veterans-affairs/component-library/dist/react-bindings,@department-of-veterans-affairs/component-library/Telephone,classnames,url-search-params,@sentry/browser,reselect,simple-guid,@department-of-veterans-affairs/react-components/Breadcrumbs,@department-of-veterans-affairs/react-jsonschema-form/lib/utils,@department-of-veterans-affairs/component-library/ExpandingGroup,fs,@babel/parser,@babel/traverse,glob,mocker-api/lib/delay,append-query,mockdate,chai,@testing-library/dom,@testing-library/user-event,sinon,@testing-library/react,history-v4,redux,redux-thunk,just-diff",
164,VAMC Modernized Pages,,Facility Sites,VAMC Upgrade team, CMS, & Facilities,,,,,"QA Standards, Governance",,,
168,VET TEC additions to GIBCT,src/applications/gi,N/A,Booz-Allen Hamilton,,,,,"QA Standards, Governance",,,
166,Vet Center pages,src/applications/facility-locator,Facilities,CMS & Facilities,,,,,"QA Standards, Governance",,,
170,Veteran ID Card Application,src/applications/veteran-id-card,Veteran ID Card Application,Global Unauth'd Exp,,,,,"QA Standards, Governance",,"prop-types,react,@department-of-veterans-affairs/react-components/SystemDownView,react-redux,@department-of-veterans-affairs/react-components/AlertBox,@department-of-veterans-affairs/component-library/TextInput,lodash/head,lodash/has,redux",
172,Veteran Readiness and Employment Application (VAF 28-1900),src/applications/vre/28-1900,Veteran Readiness & Employment,eBenefits Migration team,,,,"May 10, 2021","QA Standards, Governance",,"react,react-redux,@department-of-veterans-affairs/component-library/Telephone,moment,vets-json-schema/dist/28-1900-schema.json,react-router,@department-of-veterans-affairs/component-library/OMBInfo,chai,sinon,enzyme,path,@department-of-veterans-affairs/react-components/RadioButtons","src/applications/personalization/profile/tests/fixtures/users/user-loa1.json"
174,View My Rated Disability,src/applications/disability-benefits/disability-rating-calculator,Disability Comp Application (21-526 EZ),eBenefits,,,,,"QA Standards, Governance",,,
176,Welcome Kit,,Welcome Kit,Unauthenticated Experience,,,,,"QA Standards, Governance",,,
178,Yellow Ribbon Tool,src/applications/yellow-ribbon,N/A,Search & Discovery,,,,05/08/2020,"QA Standards, Governance",19,"chai,sinon,append-query,react,enzyme,prop-types,lodash/startCase,lodash/toLower,lodash/startsWith,classnames,react-redux,@department-of-veterans-affairs/react-components/AdditionalInfo,@department-of-veterans-affairs/react-components/Checkbox,url-search-params,vets-json-schema/dist/constants.json,@department-of-veterans-affairs/react-components/LoadingIndicator,@department-of-veterans-affairs/react-components/Pagination,lodash/times,@department-of-veterans-affairs/react-components/Breadcrumbs,lodash/map",
179,Ask A Question,src/applications/ask-a-question,,,,,,,,25,"react,@department-of-veterans-affairs/component-library/Telephone,moment,react-redux,reselect,lodash/merge,vets-json-schema/dist/constants.json,lodash/sortBy,lodash/orderBy,lodash/flatten,@department-of-veterans-affairs/component-library/OMBInfo,lodash/set,sinon,@pact-foundation/pact,path,chai,@testing-library/react,@testing-library/dom",
181,Third Party App Directory,,,,,,,,,,,
182,Terms and Conditions,src/applications/terms-and-conditions,,,,,,,,,"react,react-redux,react-scroll,append-query,@department-of-veterans-affairs/react-components/AlertBox,@department-of-veterans-affairs/react-components/LoadingIndicator,chai,enzyme,sinon",
