Filename,Old Size (bytes),New Size (bytes),Size Diff,% Change
21-0779-nursing-home-information.entry.js,2393633,1950761,-442872,-18.5%
survivors-benefits.entry.js,2586160,2108149,-478011,-18.5%
686C-674-v2.entry.js,2881419,2348918,-532501,-18.5%
verify-your-enrollment.entry.js,1964931,1605563,-359368,-18.3%
appoint-a-representative.entry.js,2552757,2088703,-464054,-18.2%
mock-simple-forms-patterns.entry.js,2432281,1990437,-441844,-18.2%
mock-form-patterns-v3.entry.js,2299977,1882813,-417164,-18.1%
static-pages.entry.js,2485366,2034651,-450715,-18.1%
21P-601.entry.js,2377228,1946342,-430886,-18.1%
21-4192-employment-information.entry.js,2459380,2013756,-445624,-18.1%
medical-expense-report.entry.js,2406205,1971173,-435032,-18.1%
10278-edu-benefits.entry.js,2388874,1957464,-431410,-18.1%
fmp-cover-sheet.entry.js,2142107,1755516,-386591,-18.0%
1995-edu-benefits.entry.js,2176152,1783848,-392304,-18.0%
new-conditions.entry.js,2201037,1804295,-396742,-18.0%
526EZ-all-claims.entry.js,3347222,2745091,-602131,-18.0%
21-4142-medical-release.entry.js,2340925,1919833,-421092,-18.0%
21-2680-house-bound-status.entry.js,2409742,1977241,-432501,-17.9%
0538-dependents-verification.entry.js,2506399,2057191,-449208,-17.9%
profile.entry.js,4515613,3707379,-808234,-17.9%
pensions.entry.js,2829099,2323994,-505105,-17.9%
representative-form-upload.entry.js,1788138,1468927,-319211,-17.9%
0247-pmc.entry.js,2129883,1750426,-379457,-17.8%
burials-ez.entry.js,2686514,2211267,-475247,-17.7%
1010cg-application-caregiver-assistance.entry.js,2486052,2046600,-439452,-17.7%
1330m2-medallions.entry.js,2070548,1706492,-364056,-17.6%
10282-edu-benefits.entry.js,2104777,1734727,-370050,-17.6%
travel-pay.entry.js,2096145,1730543,-365602,-17.4%
feedback-tool.entry.js,2130679,1759726,-370953,-17.4%
hca.entry.js,2751422,2272661,-478761,-17.4%
mock-form-minimal-header.entry.js,2120841,1752314,-368527,-17.4%
mhv-supply-reordering.entry.js,2363245,1956122,-407123,-17.2%
income-and-asset-statement.entry.js,2763930,2288720,-475210,-17.2%
10-10D.entry.js,2436627,2017839,-418788,-17.2%
health-care-supply-reordering.entry.js,2299275,1908357,-390918,-17.0%
dashboard.entry.js,2391960,1986441,-405519,-17.0%
ezr.entry.js,2675595,2223588,-452007,-16.9%
10-7959C.entry.js,2587462,2153275,-434187,-16.8%
pre-need.entry.js,2145002,1785379,-359623,-16.8%
find-a-representative.entry.js,1963430,1635113,-328317,-16.7%
10203-edu-benefits.entry.js,2044298,1704979,-339319,-16.6%
vass.entry.js,1751987,1461262,-290725,-16.6%
10-7959a.entry.js,2488859,2076437,-412422,-16.6%
survivor-dependent-education-benefit-22-5490.entry.js,2133475,1781032,-352443,-16.5%
fry-dea.entry.js,2035721,1699530,-336191,-16.5%
0994-edu-benefits.entry.js,2026428,1693562,-332866,-16.4%
medical-records.entry.js,2256251,1885810,-370441,-16.4%
sahg.entry.js,1957682,1636742,-320940,-16.4%
10-7959f-1-FMP.entry.js,2309525,1931284,-378241,-16.4%
mock-sip-form.entry.js,1954770,1634686,-320084,-16.4%
dependents-view-dependents.entry.js,2168795,1814884,-353911,-16.3%
10-10d-extended.entry.js,2605996,2180768,-425228,-16.3%
toe.entry.js,2157884,1805926,-351958,-16.3%
1990ez-edu-benefits.entry.js,2214221,1853299,-360922,-16.3%
discover-your-benefits.entry.js,2315633,1938769,-376864,-16.3%
nod-new.entry.js,1893364,1586934,-306430,-16.2%
sc-testing.entry.js,1893377,1586947,-306430,-16.2%
hlr-testing.entry.js,1893401,1586971,-306430,-16.2%
ask-a-question.entry.js,2099863,1766751,-333112,-15.9%
representative-21a.entry.js,2000188,1683644,-316544,-15.8%
25-8832-planning-and-career-guidance.entry.js,2214363,1875597,-338766,-15.3%
pact-act.entry.js,1692505,1434838,-257667,-15.2%
income-limits.entry.js,1646699,1397968,-248731,-15.1%
mhv-landing-page.entry.js,1978549,1680184,-298365,-15.1%
enrollment-verification.entry.js,1622202,1378001,-244201,-15.1%
view-payments.entry.js,1594386,1355540,-238846,-15.0%
auth.entry.js,1608610,1369915,-238695,-14.8%
resources-and-support.entry.js,1596602,1361072,-235530,-14.8%
login-page.entry.js,1611005,1373769,-237236,-14.7%
yellow-ribbon.entry.js,1644030,1402441,-241589,-14.7%
ch31-eligibility-entitlement.entry.js,1621528,1383398,-238130,-14.7%
messages.entry.js,1583351,1353938,-229413,-14.5%
office-directory.entry.js,1577683,1349434,-228249,-14.5%
pre-check-in.entry.js,2246930,1924292,-322638,-14.4%
education-letters.entry.js,1583939,1356895,-227044,-14.3%
veteran-id-card.entry.js,1592609,1364556,-228053,-14.3%
post-911-gib-status.entry.js,1596263,1367930,-228333,-14.3%
covid19screen.entry.js,1608600,1378571,-230029,-14.3%
discharge-upgrade-instructions.entry.js,1700681,1457736,-242945,-14.3%
dhp-consent-flow.entry.js,1611268,1382095,-229173,-14.2%
search.entry.js,1614194,1385009,-229185,-14.2%
avs.entry.js,1954693,1678386,-276307,-14.1%
download.entry.js,1619113,1391330,-227783,-14.1%
verify.entry.js,1571945,1352685,-219260,-13.9%
check-in.entry.js,2259701,1946529,-313172,-13.9%
rated-disabilities.entry.js,1774837,1529564,-245273,-13.8%
onramp.entry.js,1655367,1428454,-226913,-13.7%
ds-playground.entry.js,1611259,1392215,-219044,-13.6%
sco.entry.js,1614565,1395624,-218941,-13.6%
public-outreach-materials.entry.js,1493672,1292738,-200934,-13.5%
representative.entry.js,1191356,1031161,-160195,-13.4%
medications.entry.js,2166864,1878100,-288764,-13.3%
travel-claim.entry.js,2160383,1872783,-287600,-13.3%
claims-status.entry.js,2422908,2102808,-320100,-13.2%
gi.entry.js,2985017,2619726,-365291,-12.2%
combined-debt-portal.entry.js,3204377,2813191,-391186,-12.2%
facilities.entry.js,2673315,2351348,-321967,-12.0%
pre-need-integration.entry.js,5930814,5353533,-577281,-9.7%
ds-v3-playground.entry.js,3233706,2990421,-243285,-7.5%
virtual-agent.entry.js,6657782,6361740,-296042,-4.4%
proxy-rewrite.entry.js,939406,907818,-31588,-3.4%
