"PAGE TITLE","PAGE URL","LINK TEXT","LINK URL","TARGET TITLE"
"Page Moved","/burials-and-memorials/burial-planning","/burials-memorials/plan-a-burial/","/burials-memorials/plan-a-burial/","Plan a Burial for a Veteran, Spouse, or Dependent Family Member: VA.gov"
"Page Moved","/burials-and-memorials/eligibility","/burials-memorials/eligibility/","/burials-memorials/eligibility/","Eligibility for Burial in a VA National Cemetery: VA.gov"
"Page Moved","/burials-and-memorials/honor/flags-and-memorial-certificates","/burials-memorials/memorial-items/presidential-memorial-certificates/","/burials-memorials/memorial-items/presidential-memorial-certificates/","Request a Presidential Memorial Certificate to Honor a Veteran or Reservist: VA.gov"
"Page Moved","/burials-and-memorials/honor/headstones-markers-medallions","/burials-memorials/memorial-items/headstones-markers-medallions/","/burials-memorials/memorial-items/headstones-markers-medallions/","Request Veterans Headstones, Grave Markers, and Medallions: VA.gov"
"Page Moved","/burials-and-memorials/honor","/burials-memorials/memorial-items/","/burials-memorials/memorial-items/","Honor a Veteran, Reservist, or Family Member with Memorial Items: VA.gov"
"Page Moved","/burials-and-memorials","/burials-memorials/","/burials-memorials/","VA Burial Benefits and Memorial Items: VA.gov"
"Page Moved","/burials-and-memorials/pre-need/after-you-apply","/burials-memorials/pre-need-eligibility/after-you-apply/","/burials-memorials/pre-need-eligibility/after-you-apply/","After You Apply for a Pre-need Eligibility Determination: VA.gov"
"Apply online for pre-need determination of eligibility in a VA National Cemetery: VA.gov","/burials-and-memorials/pre-need/form-10007-apply-for-eligibility","Skip to Content","#content","Skip to Content"
"Apply online for pre-need determination of eligibility in a VA National Cemetery: VA.gov","/burials-and-memorials/pre-need/form-10007-apply-for-eligibility","update your browser","https://whatbrowser.org/","External Link"
"Apply online for pre-need determination of eligibility in a VA National Cemetery: VA.gov","/burials-and-memorials/pre-need/form-10007-apply-for-eligibility","/img/header-logo.png","/","VA.gov"
"Apply online for pre-need determination of eligibility in a VA National Cemetery: VA.gov","/burials-and-memorials/pre-need/form-10007-apply-for-eligibility","Home","/","VA.gov"
"Apply online for pre-need determination of eligibility in a VA National Cemetery: VA.gov","/burials-and-memorials/pre-need/form-10007-apply-for-eligibility","Burials and Memorials","/burials-memorials/","VA Burial Benefits and Memorial Items: VA.gov"
"Apply online for pre-need determination of eligibility in a VA National Cemetery: VA.gov","/burials-and-memorials/pre-need/form-10007-apply-for-eligibility","Pre-need Eligibility Determination","/burials-memorials/pre-need-eligibility/","Pre-need Eligibility Determination for Burial in a VA National Cemetery: VA.gov"
"Page Moved","/burials-and-memorials/pre-need","/burials-memorials/pre-need-eligibility/","/burials-memorials/pre-need-eligibility/","Pre-need Eligibility Determination for Burial in a VA National Cemetery: VA.gov"
"Page Moved","/burials-and-memorials/survivor-and-dependent-benefits/burial-costs","/burials-memorials/veterans-burial-allowance/","/burials-memorials/veterans-burial-allowance/","How to Apply for a Veterans Burial Allowance: VA.gov"
"Page Moved","/burials-and-memorials/survivor-and-dependent-benefits/compensation","/burials-memorials/dependency-indemnity-compensation/","/burials-memorials/dependency-indemnity-compensation/","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Skip to Content","#content","Skip to Content"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","update your browser","https://whatbrowser.org/","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","/img/header-logo.png","/","VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Home","/","VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Burials and Memorials","/burials-memorials","VA Burial Benefits and Memorial Items: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Bereavement Counseling","/burials-memorials/bereavement-counseling","Bereavement Counseling: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Eligibility","/burials-memorials/eligibility","Eligibility for Burial in a VA National Cemetery: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Pre-Need Burial Eligibility Determination","/burials-memorials/pre-need-eligibility","Pre-need Eligibility Determination for Burial in a VA National Cemetery: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Burial Allowance","/burials-memorials/veterans-burial-allowance","How to Apply for a Veterans Burial Allowance: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Memorial Items","/burials-memorials/memorial-items","Honor a Veteran, Reservist, or Family Member with Memorial Items: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Survivor and Dependent Compensation (DIC)","/burials-memorials/dependency-indemnity-compensation","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Bereavement Counseling","/burials-memorials/bereavement-counseling","Bereavement Counseling: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Plan a Burial","/burials-memorials/plan-a-burial","Plan a Burial for a Veteran, Spouse, or Dependent Family Member: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Schedule a Burial","https://www.cem.va.gov/cem/burial_benefits/need.asp","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Find a Cemetery","https://www.cem.va.gov/cems/listcem.asp","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Request Military Records","/records/get-military-service-records/","Get Your Military Service Records (including DD214): VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Daily Burial Schedule","https://www.cem.va.gov/cem/dailyburialschedule/","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Survivor DIC Rates","https://www.benefits.va.gov/Compensation/current_rates_dic.asp","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Parents DIC Rates","https://www.benefits.va.gov/Pension/current_rates_Parents_DIC_pen.asp","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Replace Medals, Awards, and Decorations","https://www.cem.va.gov/recmed_records.asp","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Search Historical Military Records","https://www.archives.gov/veterans","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Grave Locator","https://m.va.gov/gravelocator/index.cfm","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Burial Benefits FAQs","https://www.cem.va.gov/cem/faq.asp","External Link"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","What to Expect at a Military Funeral","/burials-memorials/what-to-expect-at-military-funeral","What to Expect at a Military Funeral: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","1-202-461-6530","tel:+1-202-461-6530","1-202-461-6530"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","vetcenter.bereavement@va.gov","mailto:vetcenter.bereavement@va.gov","vetcenter.bereavement@va.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","How to Apply for a Burial Allowance

                Find out if you can get paid back for funeral and other burial costs.","/burials-memorials/veterans-burial-allowance/","How to Apply for a Veterans Burial Allowance: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Compensation for Survivors and Dependents

                Find out if you can get tax-free monetary benefits.","/burials-memorials/dependency-indemnity-compensation/","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","Burial Planning

                Find out the steps you’ll need to take to arrange for a Servicemember, Veteran, or eligible family member’s burial.","/burials-memorials/plan-a-burial/","Plan a Burial for a Veteran, Spouse, or Dependent Family Member: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","What to Expect at a Memorial Service

                Find out what will happen to help you prepare for this day.","/burials-memorials/what-to-expect-at-military-funeral/","What to Expect at a Military Funeral: VA.gov"
"Bereavement Counseling: VA.gov","/burials-memorials/bereavement-counseling","How to Apply for a Survivors Pension

                If you’re an unmarried surviving spouse or an unmarried child of a deceased Veteran with wartime service, find out if you can get monthly payments.","/pension/survivors-pension/","How to Apply for a Survivors Pension: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Skip to Content","#content","Skip to Content"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","update your browser","https://whatbrowser.org/","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","/img/header-logo.png","/","VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Home","/","VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Burials and Memorials","/burials-memorials","VA Burial Benefits and Memorial Items: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Survivor and Dependent Compensation (DIC)","/burials-memorials/dependency-indemnity-compensation","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Eligibility","/burials-memorials/eligibility","Eligibility for Burial in a VA National Cemetery: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Pre-Need Burial Eligibility Determination","/burials-memorials/pre-need-eligibility","Pre-need Eligibility Determination for Burial in a VA National Cemetery: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Burial Allowance","/burials-memorials/veterans-burial-allowance","How to Apply for a Veterans Burial Allowance: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Memorial Items","/burials-memorials/memorial-items","Honor a Veteran, Reservist, or Family Member with Memorial Items: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Survivor and Dependent Compensation (DIC)","/burials-memorials/dependency-indemnity-compensation","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Bereavement Counseling","/burials-memorials/bereavement-counseling","Bereavement Counseling: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Plan a Burial","/burials-memorials/plan-a-burial","Plan a Burial for a Veteran, Spouse, or Dependent Family Member: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Schedule a Burial","https://www.cem.va.gov/cem/burial_benefits/need.asp","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Find a Cemetery","https://www.cem.va.gov/cems/listcem.asp","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Request Military Records","/records/get-military-service-records/","Get Your Military Service Records (including DD214): VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Daily Burial Schedule","https://www.cem.va.gov/cem/dailyburialschedule/","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Survivor DIC Rates","https://www.benefits.va.gov/Compensation/current_rates_dic.asp","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Parents DIC Rates","https://www.benefits.va.gov/Pension/current_rates_Parents_DIC_pen.asp","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Replace Medals, Awards, and Decorations","https://www.cem.va.gov/recmed_records.asp","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Search Historical Military Records","https://www.archives.gov/veterans","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Grave Locator","https://m.va.gov/gravelocator/index.cfm","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Burial Benefits FAQs","https://www.cem.va.gov/cem/faq.asp","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","What to Expect at a Military Funeral","/burials-memorials/what-to-expect-at-military-funeral","What to Expect at a Military Funeral: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","View the parents DIC rate table","https://benefits.va.gov/Pension/current_rates_Parents_DIC_pen.asp","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Download VA Form 21P-534a","https://www.vba.va.gov/pubs/forms/VBA-21P-534a-ARE.pdf","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Download VA Form 21P-534EZ","https://www.vba.va.gov/pubs/forms/VBA-21P-534EZ-ARE.pdf","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Download VA Form 21P-535","https://www.vba.va.gov/pubs/forms/VBA-21P-535-ARE.pdf","External Link"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Find your PMC","/pension/pension-management-centers/","Pension Management Centers: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Get help filing your claim","/disability/get-help-filing-claim/","Get Help Filing Your Claim or Appeal: VA.gov"
"Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov","/burials-memorials/dependency-indemnity-compensation","Find a local VA office","/facilities/","Facility Locator: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Skip to Content","#content","Skip to Content"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","update your browser","https://whatbrowser.org/","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","/img/header-logo.png","/","VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Home","/","VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Burials and Memorials","/burials-memorials","VA Burial Benefits and Memorial Items: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Eligibility","/burials-memorials/eligibility","Eligibility for Burial in a VA National Cemetery: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Eligibility","/burials-memorials/eligibility","Eligibility for Burial in a VA National Cemetery: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Burial in a Private Cemetery","https://www.cem.va.gov/cem/burial_benefits/private_cemetery.asp","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Pre-Need Burial Eligibility Determination","/burials-memorials/pre-need-eligibility","Pre-need Eligibility Determination for Burial in a VA National Cemetery: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Burial Allowance","/burials-memorials/veterans-burial-allowance","How to Apply for a Veterans Burial Allowance: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Memorial Items","/burials-memorials/memorial-items","Honor a Veteran, Reservist, or Family Member with Memorial Items: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Survivor and Dependent Compensation (DIC)","/burials-memorials/dependency-indemnity-compensation","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Bereavement Counseling","/burials-memorials/bereavement-counseling","Bereavement Counseling: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Plan a Burial","/burials-memorials/plan-a-burial","Plan a Burial for a Veteran, Spouse, or Dependent Family Member: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Schedule a Burial","https://www.cem.va.gov/cem/burial_benefits/need.asp","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Find a Cemetery","https://www.cem.va.gov/cems/listcem.asp","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Request Military Records","/records/get-military-service-records/","Get Your Military Service Records (including DD214): VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Daily Burial Schedule","https://www.cem.va.gov/cem/dailyburialschedule/","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Survivor DIC Rates","https://www.benefits.va.gov/Compensation/current_rates_dic.asp","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Parents DIC Rates","https://www.benefits.va.gov/Pension/current_rates_Parents_DIC_pen.asp","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Replace Medals, Awards, and Decorations","https://www.cem.va.gov/recmed_records.asp","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Search Historical Military Records","https://www.archives.gov/veterans","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Grave Locator","https://m.va.gov/gravelocator/index.cfm","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Burial Benefits FAQs","https://www.cem.va.gov/cem/faq.asp","External Link"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","What to Expect at a Military Funeral","/burials-memorials/what-to-expect-at-military-funeral","What to Expect at a Military Funeral: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Find out how to apply for a discharge upgrade","/discharge-upgrade-instructions/","How to Apply for a Discharge Upgrade: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Learn about the VA Character of Discharge review process","/discharge-upgrade-instructions/#other-options","How to Apply for a Discharge Upgrade: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Burial flag to drape over the casket (or coffin) or place with the urn","/burials-memorials/memorial-items/burial-flags/","Request a Burial Flag to Honor a Veteran or Reservist: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Presidential Memorial Certificate signed by the current President of the United States","/burials-memorials/memorial-items/presidential-memorial-certificates/","Request a Presidential Memorial Certificate to Honor a Veteran or Reservist: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Headstone, marker, niche cover, or medallion to identify a gravesite located outside a VA national cemetery","/burials-memorials/memorial-items/headstones-markers-medallions/","Request Veterans Headstones, Grave Markers, and Medallions: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Learn about the burial planning process","/burials-memorials/plan-a-burial/","Plan a Burial for a Veteran, Spouse, or Dependent Family Member: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Learn about memorial items","/burials-memorials/memorial-items/","Honor a Veteran, Reservist, or Family Member with Memorial Items: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","See if you’re eligible for Dependency and Indemnity Compensation (DIC)","/burials-memorials/dependency-indemnity-compensation/","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Find out how to apply for a burial allowance","/burials-memorials/veterans-burial-allowance/","How to Apply for a Veterans Burial Allowance: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Find out how to apply","/burials-memorials/pre-need-eligibility/","Pre-need Eligibility Determination for Burial in a VA National Cemetery: VA.gov"
"Eligibility for Burial in a VA National Cemetery: VA.gov","/burials-memorials/eligibility","Find a state Veterans cemetery","https://www.cem.va.gov/cem/cems/listcem.asp","External Link"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Skip to Content","#content","Skip to Content"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","update your browser","https://whatbrowser.org/","External Link"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","/img/header-logo.png","/","VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Home","/","VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Burials and Memorials","/burials-memorials","VA Burial Benefits and Memorial Items: VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Get Veterans Burial Benefits","#get","Get Veterans Burial Benefits"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Plan a Burial","#manage","Plan a Burial"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","More Information and Resources","#more","More Information and Resources"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Eligibility","/burials-memorials/eligibility/","Eligibility for Burial in a VA National Cemetery: VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Pre-Need Burial Eligibility Determination","/burials-memorials/pre-need-eligibility/","Pre-need Eligibility Determination for Burial in a VA National Cemetery: VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Veteran Burial Allowance","/burials-memorials/veterans-burial-allowance/","How to Apply for a Veterans Burial Allowance: VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Memorial Items","/burials-memorials/memorial-items/","Honor a Veteran, Reservist, or Family Member with Memorial Items: VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Compensation Benefits for Surviving Spouse and Dependents (VA DIC)","/burials-memorials/dependency-indemnity-compensation/","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Bereavement Counseling","/burials-memorials/bereavement-counseling/","Bereavement Counseling: VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Plan a Burial for a Veteran, Spouse, or Dependent Family Member","/burials-memorials/plan-a-burial/","Plan a Burial for a Veteran, Spouse, or Dependent Family Member: VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Schedule a Burial in a VA National Cemetery","https://www.cem.va.gov/cem/burial_benefits/need.asp","External Link"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Find a National, State, or Tribal Government Veterans Cemetery","https://www.cem.va.gov/cems/listcem.asp","External Link"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Request Military Records (DD214)","/records/get-military-service-records/","Get Your Military Service Records (including DD214): VA.gov"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","VA National Cemetery Daily Burial Schedule","https://www.cem.va.gov/dailyburialschedule/","External Link"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","VA Survivor Benefits Rates (VA DIC)","https://www.benefits.va.gov/Compensation/current_rates_dic.asp","External Link"
"VA Burial Benefits and Memorial Items: VA.gov","/burials-memorials","Parents Dependency and Indemnity Compensation (DIC) Rates","https://www.benefits.va.gov/Pension/current_rates_Parents_DIC_pen.asp","External Link"
