Filename,Old Size (bytes),New Size (bytes),Size Diff,% Change
toe.entry.js,1805926,1662518,-143408,-7.9%
mock-form-ae-design-patterns.entry.js,2757837,2546281,-211556,-7.7%
ch31-eligibility-entitlement.entry.js,1383398,1278626,-104772,-7.6%
view-payments.entry.js,1355540,1253886,-101654,-7.5%
enrollment-verification.entry.js,1378001,1275881,-102120,-7.4%
education-letters.entry.js,1356895,1256933,-99962,-7.4%
confirm-contact-email.entry.js,1868248,2004914,136666,+7.3%
sign-in-health-portal.entry.js,1864448,2000639,136191,+7.3%
facilities.entry.js,2351348,2187773,-163575,-7.0%
vass.entry.js,1461262,1361170,-100092,-6.8%
mhv-supply-reordering.entry.js,1956122,2078329,122207,+6.2%
travel-claim.entry.js,1872783,1759969,-112814,-6.0%
welcome-va-setup-review-information.entry.js,1934771,2050761,115990,+6.0%
10-7959C.entry.js,2153275,2035352,-117923,-5.5%
mock-simple-forms-patterns.entry.js,1990437,1882395,-108042,-5.4%
new-chapter-36-form.entry.js,1780482,1876693,96211,+5.4%
mock-form-prefill.entry.js,2026154,2134289,108135,+5.3%
rated-disabilities.entry.js,1529564,1448000,-81564,-5.3%
pre-check-in.entry.js,1924292,1822995,-101297,-5.3%
ds-v3-playground.entry.js,2990421,2833156,-157265,-5.3%
check-in.entry.js,1946529,1844711,-101818,-5.2%
10275-edu-benefits.entry.js,1907410,2002432,95022,+5.0%
letters.entry.js,1908749,2003408,94659,+5.0%
mhv-landing-page.entry.js,1680184,1599414,-80770,-4.8%
28-1900-chapter-31.entry.js,1806227,1892388,86161,+4.8%
21-2680-house-bound-status.entry.js,1977241,2069143,91902,+4.6%
claims-status.entry.js,2102808,2005272,-97536,-4.6%
0538-dependents-verification.entry.js,2057191,2151552,94361,+4.6%
ezr.entry.js,2223588,2121844,-101744,-4.6%
21-0779-nursing-home-information.entry.js,1950761,2039869,89108,+4.6%
avs.entry.js,1678386,1603193,-75193,-4.5%
onramp.entry.js,1428454,1364567,-63887,-4.5%
combined-debt-portal.entry.js,2813191,2693309,-119882,-4.3%
verify-your-enrollment.entry.js,1605563,1537692,-67871,-4.2%
mock-form-patterns-v3.entry.js,1882813,1803329,-79484,-4.2%
gi.entry.js,2619726,2513185,-106541,-4.1%
0839-edu-benefits.entry.js,1965364,2044513,79149,+4.0%
representative-form-upload.entry.js,1468927,1527589,58662,+4.0%
profile.entry.js,3707379,3852784,145405,+3.9%
21P-601.entry.js,1946342,1872522,-73820,-3.8%
terms-of-use.entry.js,1948788,2020218,71430,+3.7%
0976-edu-benefits.entry.js,1959844,2031124,71280,+3.6%
dashboard.entry.js,1986441,2055848,69407,+3.5%
ask-va.entry.js,2163377,2089419,-73958,-3.4%
10272-edu-benefits.entry.js,2095568,2167116,71548,+3.4%
21-8940.entry.js,1991523,1925660,-65863,-3.3%
0247-pmc.entry.js,1750426,1692820,-57606,-3.3%
appoint-a-representative.entry.js,2088703,2020258,-68445,-3.3%
10-7959a.entry.js,2076437,2008865,-67572,-3.3%
fmp-cover-sheet.entry.js,1755516,1699413,-56103,-3.2%
1010cg-application-caregiver-assistance.entry.js,2046600,1981424,-65176,-3.2%
21-4192-employment-information.entry.js,2013756,2077385,63629,+3.2%
income-and-asset-statement.entry.js,2288720,2218430,-70290,-3.1%
40-xxxx-ton.entry.js,1933728,1992164,58436,+3.0%
10-7959f-1-FMP.entry.js,1931284,1874009,-57275,-3.0%
mock-form-minimal-header.entry.js,1752314,1701078,-51236,-2.9%
1330m2-medallions.entry.js,1706492,1755800,49308,+2.9%
1330m-medallions.entry.js,2018149,2076202,58053,+2.9%
0803-edu-benefits.entry.js,2095827,2153714,57887,+2.8%
feedback-tool.entry.js,1759726,1711157,-48569,-2.8%
hca.entry.js,2272661,2210849,-61812,-2.7%
new-conditions.entry.js,1804295,1852891,48596,+2.7%
10297-edu-benefits.entry.js,1963944,2016725,52781,+2.7%
21-4142-medical-release.entry.js,1919833,1869634,-50199,-2.6%
travel-pay.entry.js,1730543,1685745,-44798,-2.6%
burials-ez.entry.js,2211267,2154512,-56755,-2.6%
0996-higher-level-review.entry.js,2313097,2371699,58602,+2.5%
survivors-benefits.entry.js,2108149,2160570,52421,+2.5%
10182-board-appeal.entry.js,2307623,2364530,56907,+2.5%
pensions.entry.js,2323994,2267557,-56437,-2.4%
virtual-agent.entry.js,6361740,6207699,-154041,-2.4%
686C-674-v2.entry.js,2348918,2297069,-51849,-2.2%
12-3456.entry.js,1880784,1922215,41431,+2.2%
21-4140-eq.entry.js,1880837,1922268,41431,+2.2%
dependents-view-dependents.entry.js,1814884,1779233,-35651,-2.0%
health-care-supply-reordering.entry.js,1908357,1870927,-37430,-2.0%
10278-edu-benefits.entry.js,1957464,1995325,37861,+1.9%
1995-edu-benefits.entry.js,1783848,1751313,-32535,-1.8%
995-supplemental-claim.entry.js,2443039,2487018,43979,+1.8%
10282-edu-benefits.entry.js,1734727,1704079,-30648,-1.8%
526EZ-all-claims.entry.js,2745091,2699978,-45113,-1.6%
dispute-debt.entry.js,2092964,2125670,32706,+1.6%
vaos.entry.js,2830597,2788452,-42145,-1.5%
10216-edu-benefits.entry.js,1800007,1825845,25838,+1.4%
10207-pp.entry.js,1969682,1942213,-27469,-1.4%
21-4140.entry.js,1922783,1949500,26717,+1.4%
discover-your-benefits.entry.js,1938769,1911986,-26783,-1.4%
21p-530a-interment-allowance.entry.js,2037357,2009656,-27701,-1.4%
21p-0537.entry.js,2014280,2038237,23957,+1.2%
coe-status.entry.js,2180664,2156081,-24583,-1.1%
10-10d-extended.entry.js,2180768,2204779,24011,+1.1%
8794-edu-benefits.entry.js,1937293,1916441,-20852,-1.1%
coe.entry.js,2199934,2176388,-23546,-1.1%
form-upload-flow.entry.js,1822803,1804478,-18325,-1.0%
request-debt-help-form-5655.entry.js,2347375,2369123,21748,+0.9%
10206-pa.entry.js,1827486,1812415,-15071,-0.8%
21-0966-intent-to-file-a-claim.entry.js,1857326,1843109,-14217,-0.8%
10-10D.entry.js,2017839,2032389,14550,+0.7%
4555-adapted-housing.entry.js,1818135,1806047,-12088,-0.7%
10210-lay-witness-statement.entry.js,1814325,1802676,-11649,-0.6%
21-0972-alternate-signer.entry.js,1813031,1802453,-10578,-0.6%
static-pages.entry.js,2034651,2024036,-10615,-0.5%
1919-edu-benefits.entry.js,1902799,1893227,-9572,-0.5%
21P-0847-substitute-claimant.entry.js,1795313,1786378,-8935,-0.5%
4138-ss.entry.js,1835550,1826999,-8551,-0.5%
10215-edu-benefits.entry.js,1884008,1891846,7838,+0.4%
0845-auth-disclose.entry.js,1814933,1807490,-7443,-0.4%
medical-expense-report.entry.js,1971173,1979072,7899,+0.4%
mhv-secure-messaging.entry.js,2153622,2148012,-5610,-0.3%
mock-form.entry.js,2002342,2006752,4410,+0.2%
representative-21a.entry.js,1683644,1685881,2237,+0.1%
pre-need-integration.entry.js,5353533,5353139,-394,-0.0%
